epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8679.96,1.0591,0.75156,1.26421,0.97959,0.58336,0.64274,0.48247,0.74446,0.35189,0.89374,0.000336392,0.000336392,0.000336392
43,8886.1,1.04899,0.74814,1.24647,0.98059,0.59464,0.66206,0.50569,0.73881,0.3555,0.89248,0.000305872,0.000305872,0.000305872
44,9093.45,1.03807,0.7334,1.2459,0.98242,0.60049,0.69536,0.55828,0.74036,0.34525,0.88742,0.000276492,0.000276492,0.000276492
45,9301.14,1.03029,0.70134,1.24356,0.96658,0.60323,0.66607,0.51383,0.72414,0.33788,0.88034,0.000248332,0.000248332,0.000248332
46,9513.7,1.02702,0.68764,1.23608,0.924,0.60395,0.66145,0.51467,0.72874,0.33038,0.88278,0.000221469,0.000221469,0.000221469
47,9722.92,1.01025,0.68877,1.22625,0.98564,0.60206,0.66645,0.53603,0.72869,0.32916,0.87849,0.000195978,0.000195978,0.000195978
48,9931.63,1.03365,0.70457,1.23837,0.9716,0.58708,0.66763,0.50942,0.72706,0.33078,0.87451,0.000171927,0.000171927,0.000171927
49,10143.1,1.00817,0.6873,1.21951,0.89493,0.55135,0.65562,0.51777,0.72223,0.33145,0.87365,0.000149383,0.000149383,0.000149383
50,10355,1.0112,0.67124,1.21949,0.97731,0.60431,0.65827,0.51778,0.72639,0.32985,0.87388,0.000128407,0.000128407,0.000128407
51,10589.6,0.84825,0.4265,1.075,0.97099,0.60538,0.62656,0.46985,0.73193,0.33391,0.88172,0.000109058,0.000109058,0.000109058
52,10795.7,0.85656,0.42191,1.08109,0.98516,0.60033,0.63545,0.47833,0.7171,0.31823,0.86797,9.13871e-05,9.13871e-05,9.13871e-05
53,11003,0.85409,0.42022,1.07494,0.98446,0.59894,0.63624,0.48556,0.71835,0.31891,0.87156,7.54441e-05,7.54441e-05,7.54441e-05
54,11210.3,0.82885,0.41579,1.05982,0.97969,0.59249,0.63548,0.49593,0.71611,0.31818,0.86802,6.12722e-05,6.12722e-05,6.12722e-05
55,11416.9,0.83357,0.40625,1.05544,0.98783,0.595,0.64675,0.5004,0.71705,0.31728,0.86917,4.89104e-05,4.89104e-05,4.89104e-05
56,11622.8,0.8346,0.40081,1.05898,0.98623,0.59601,0.64055,0.50162,0.71743,0.31775,0.87014,3.83925e-05,3.83925e-05,3.83925e-05
57,11828.6,0.83766,0.39758,1.06481,0.98867,0.59516,0.64385,0.50654,0.71355,0.31587,0.86779,2.97474e-05,2.97474e-05,2.97474e-05
58,12038.8,0.82225,0.39974,1.04845,0.98721,0.59473,0.64091,0.5033,0.7126,0.31142,0.86685,2.29987e-05,2.29987e-05,2.29987e-05
59,12245.2,0.82114,0.39427,1.0496,0.98335,0.59513,0.63916,0.49966,0.71205,0.31233,0.86658,1.8165e-05,1.8165e-05,1.8165e-05
