epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.27088,2.11834,5.02888,2.03531,0.14022,0.31481,0.1963,0.10989,1.67228,4.85685,1.6911,0.00044299,0.00044299,0.00044299
2,11.9487,1.7232,3.88718,1.76036,0.79407,0.33333,0.40705,0.23642,1.35004,5.51744,1.62605,0.000899659,0.000899659,0.000899659
3,15.6273,1.9038,4.05753,1.79016,0.08964,0.2963,0.07091,0.02357,2.15238,4.58544,2.13254,0.00135387,0.00135387,0.00135387
4,19.0526,2.16787,4.20525,1.8712,0.00029,0.00926,8e-05,2e-05,2.27142,366.707,1.95098,0.00142029,0.00142029,0.00142029
5,22.4282,1.96192,3.97527,1.82568,0.57205,0.33333,0.2923,0.1597,2.28302,4.22523,2.26607,0.00141354,0.00141354,0.00141354
6,25.7709,1.82019,3.65316,1.85332,0.42857,0.33333,0.16488,0.0979,2.03314,10.1682,2.19157,0.0014049,0.0014049,0.0014049
7,29.2493,1.81793,3.66996,1.88681,0.03712,0.05556,0.02228,0.00643,2.30771,166.689,2.46566,0.00139438,0.00139438,0.00139438
8,32.5883,1.76933,3.37463,1.85364,0.36198,0.06481,0.016,0.00607,2.85397,6.74739,4.58339,0.00138202,0.00138202,0.00138202
9,35.8953,1.71761,2.96717,1.78263,0.38798,0.16667,0.08357,0.02782,2.43987,20.7368,4.24978,0.00136785,0.00136785,0.00136785
10,39.1656,1.86894,3.38573,1.9852,0.15234,0.80556,0.30495,0.21599,2.12955,30.1221,2.46589,0.0013519,0.0013519,0.0013519
11,42.4945,1.85258,2.85005,1.83227,0.36134,0.40741,0.02476,0.01341,1.71867,19.516,2.04817,0.00133423,0.00133423,0.00133423
12,45.9273,1.68058,2.88183,1.71337,0.71896,0.27555,0.37747,0.20166,1.64655,4.28944,1.83596,0.00131488,0.00131488,0.00131488
13,49.3715,1.62805,2.85691,1.6333,0.85371,0.11111,0.23651,0.15171,1.74582,6.15683,1.95137,0.00129391,0.00129391,0.00129391
14,52.7155,1.49652,2.78938,1.53341,0.39097,0.39815,0.41057,0.30285,1.96096,4.30932,2.12488,0.00127136,0.00127136,0.00127136
15,56.0941,1.4301,2.47821,1.49037,0.70148,0.27263,0.57548,0.35215,1.73857,2.6337,1.87218,0.00124731,0.00124731,0.00124731
16,59.5345,1.43956,2.23194,1.46177,0.41165,0.83333,0.62427,0.41934,1.72022,2.30185,1.9565,0.00122182,0.00122182,0.00122182
17,62.8125,1.40076,2.25033,1.46909,0.44872,0.57407,0.61399,0.4121,1.73338,2.36832,1.79339,0.00119496,0.00119496,0.00119496
18,66.2341,1.35865,2.025,1.42981,0.80371,0.5463,0.59925,0.43362,1.56312,2.2767,1.69966,0.0011668,0.0011668,0.0011668
19,69.8831,1.43759,2.08548,1.53061,0.77049,0.61111,0.67986,0.44644,1.53419,2.15922,1.59144,0.00113742,0.00113742,0.00113742
20,73.2372,1.4424,1.89857,1.51247,0.64499,0.77778,0.72064,0.48111,1.54284,2.14171,1.65586,0.0011069,0.0011069,0.0011069
21,76.6462,1.45938,1.95487,1.53118,0.72322,0.73148,0.69644,0.51315,1.59136,2.16304,1.68478,0.00107532,0.00107532,0.00107532
22,80.1724,1.35858,1.72684,1.43645,0.73282,0.76795,0.73331,0.51379,1.63648,2.1902,1.68908,0.00104278,0.00104278,0.00104278
23,83.6409,1.26996,1.593,1.45932,0.65161,0.61111,0.69916,0.50281,1.47824,1.8127,1.58142,0.00100935,0.00100935,0.00100935
24,86.8553,1.3373,1.66907,1.49803,0.72117,0.70936,0.75973,0.52824,1.4925,1.66791,1.60393,0.000975138,0.000975138,0.000975138
25,90.2361,1.2047,1.62793,1.34682,0.73062,0.82407,0.78486,0.48135,1.55085,1.76037,1.66706,0.00094023,0.00094023,0.00094023
26,93.6206,1.31947,1.61042,1.47373,0.90264,0.70345,0.79862,0.5108,1.58221,1.87571,1.68906,0.000904722,0.000904722,0.000904722
