epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,96.9721,1.15765,1.40855,1.34105,0.93804,0.72222,0.8199,0.60869,1.46873,1.62959,1.60852,0.000868712,0.000868712,0.000868712
28,101.284,1.20369,1.5117,1.36294,0.94345,0.71721,0.82149,0.60819,1.40185,1.58413,1.53773,0.0008323,0.0008323,0.0008323
29,104.662,1.17517,1.29991,1.34854,0.85126,0.72305,0.81004,0.56247,1.39119,1.61153,1.51978,0.000795584,0.000795584,0.000795584
30,107.916,1.14122,1.4055,1.36823,0.89541,0.75,0.81197,0.59813,1.44238,1.65232,1.5662,0.000758665,0.000758665,0.000758665
31,111.324,1.19855,1.33668,1.36141,0.95162,0.76305,0.84628,0.61781,1.52133,1.7024,1.65503,0.000721645,0.000721645,0.000721645
32,114.59,1.19126,1.30255,1.33722,0.8602,0.77575,0.8439,0.60432,1.48918,1.50489,1.58523,0.000684625,0.000684625,0.000684625
33,117.989,1.09133,1.24505,1.2792,0.8525,0.77723,0.85877,0.62709,1.48574,1.43589,1.57589,0.000647706,0.000647706,0.000647706
34,121.364,1.14275,1.25672,1.28488,0.93389,0.83333,0.89374,0.6678,1.49542,1.39567,1.52346,0.00061099,0.00061099,0.00061099
35,124.717,1.0965,1.26369,1.31319,0.92719,0.84155,0.89349,0.66974,1.46161,1.41739,1.49317,0.000574578,0.000574578,0.000574578
36,128.1,1.16889,1.28347,1.35184,0.97115,0.80864,0.90358,0.67256,1.39824,1.30144,1.47001,0.000538568,0.000538568,0.000538568
37,131.445,0.98856,1.13685,1.23377,0.88484,0.87963,0.91551,0.65986,1.35001,1.21564,1.42343,0.00050306,0.00050306,0.00050306
38,134.963,0.96967,1.07411,1.19763,0.86006,0.89057,0.91728,0.66962,1.35832,1.187,1.44565,0.000468152,0.000468152,0.000468152
39,138.325,1.07534,1.19615,1.3052,0.87804,0.88726,0.91927,0.6417,1.37174,1.16705,1.4666,0.000433938,0.000433938,0.000433938
40,141.763,1.05515,1.25486,1.32668,0.89483,0.85795,0.91939,0.63798,1.38428,1.16903,1.49045,0.000400513,0.000400513,0.000400513
41,145.078,1.12036,1.20906,1.3168,0.87866,0.8641,0.92053,0.65766,1.39747,1.21713,1.5119,0.000367968,0.000367968,0.000367968
42,148.376,1.02486,1.0337,1.26902,0.87323,0.88695,0.92586,0.67322,1.40873,1.22264,1.51647,0.000336392,0.000336392,0.000336392
43,151.877,0.97034,1.10054,1.23709,0.94764,0.85942,0.93547,0.67275,1.42336,1.14062,1.53117,0.000305872,0.000305872,0.000305872
44,155.169,0.98211,1.04073,1.22119,0.95656,0.88597,0.9364,0.68147,1.41658,1.11099,1.5192,0.000276492,0.000276492,0.000276492
45,158.64,0.99665,0.97979,1.23079,0.90476,0.90318,0.92883,0.67069,1.39037,1.1292,1.50627,0.000248332,0.000248332,0.000248332
46,162.086,0.9358,0.9754,1.21432,0.97945,0.83319,0.92897,0.66719,1.38366,1.14405,1.49564,0.000221469,0.000221469,0.000221469
47,165.35,0.93778,1.05186,1.19506,0.9081,0.89493,0.93082,0.67802,1.35807,1.12796,1.47321,0.000195978,0.000195978,0.000195978
48,168.907,0.90198,0.96819,1.20228,0.97167,0.87346,0.93669,0.67952,1.3315,1.10212,1.42942,0.000171927,0.000171927,0.000171927
49,172.409,0.93125,1.00394,1.22308,0.97529,0.87646,0.93563,0.70244,1.29991,1.09985,1.4151,0.000149383,0.000149383,0.000149383
50,175.671,0.92562,0.99714,1.22974,0.97916,0.89427,0.93591,0.70453,1.28562,1.06269,1.39898,0.000128407,0.000128407,0.000128407
51,207.113,0.76582,0.88853,1.12012,0.98135,0.89092,0.93476,0.704,1.27411,1.07133,1.40132,0.000109058,0.000109058,0.000109058
52,210.399,0.82702,0.8572,1.1712,0.97552,0.89493,0.93442,0.69444,1.25561,1.05702,1.39448,9.13871e-05,9.13871e-05,9.13871e-05
53,213.633,0.83647,0.88436,1.1474,0.97373,0.89354,0.93442,0.68635,1.26899,1.07827,1.40585,7.54441e-05,7.54441e-05,7.54441e-05
54,216.819,0.82008,0.7711,1.13805,0.97163,0.89366,0.93492,0.69084,1.26913,1.05564,1.40985,6.12722e-05,6.12722e-05,6.12722e-05
55,219.984,0.75638,0.78833,1.0995,0.97232,0.8933,0.9362,0.69184,1.26676,1.02902,1.40488,4.89104e-05,4.89104e-05,4.89104e-05
56,223.411,0.79316,0.8183,1.14561,0.96789,0.88889,0.93642,0.68852,1.2841,1.04999,1.4132,3.83925e-05,3.83925e-05,3.83925e-05
57,226.754,0.79096,0.7942,1.10865,0.97325,0.88464,0.93673,0.68978,1.27443,1.04882,1.41246,2.97474e-05,2.97474e-05,2.97474e-05
58,230.104,0.80329,0.86615,1.14372,0.96961,0.88889,0.93679,0.69089,1.27623,1.05173,1.41661,2.29987e-05,2.29987e-05,2.29987e-05
59,233.392,0.78199,0.79941,1.1291,0.97262,0.88678,0.93666,0.66998,1.27055,1.01036,1.40492,1.8165e-05,1.8165e-05,1.8165e-05
60,236.817,0.77886,0.88802,1.15123,0.97309,0.88552,0.93697,0.68812,1.26544,1.01819,1.40158,1.52594e-05,1.52594e-05,1.52594e-05
